Province,District,SubDistric,Sector_2,ANC_New_Reg,ANC_HIV_Tested,ANC_HIV_Pos,Positivity,Prevalence,Deliveries_Total,Polio-Zero_P0,DTP_HepB_Hib3
WesternProvince,Rubavu,GisenyiSubDistrict,Nyakiriba,0,0,0,0.00,0.00,0,0,0
WesternProvince,Rubavu,GisenyiSubDistrict,Nyamyumba,1493,1473,11,0.75,0.49,689,613,1382
WesternProvince,Rubavu,GisenyiSubDistrict,Nyundo,1757,1579,7,0.44,0.29,693,1331,2095
WesternProvince,Rubavu,GisenyiSubDistrict,Rubavu,2989,2921,28,1.92,1.25,1945,2308,2643
WesternProvince,Rusizi,GihundweSubDistrict,Bweyeye,695,690,2,0.29,0.29,558,576,648
WesternProvince,Rusizi,GihundweSubDistrict,Giheke,352,352,4,1.14,1.14,181,392,456
WesternProvince,Rusizi,GihundweSubDistrict,Kamembe,1635,1620,46,2.84,2.84,726,1676,1368
WesternProvince,Rusizi,GihundweSubDistrict,Mururu,1001,975,4,0.41,0.41,472,778,767
WesternProvince,Rusizi,GihundweSubDistrict,Nkanka,920,910,11,1.21,1.21,445,763,904
WesternProvince,Rusizi,GihundweSubDistrict,Nkombo,675,671,0,0.00,0.00,347,601,607
WesternProvince,Rusizi,MibiliziSubDistrict,Bugarama,1290,1285,12,0.93,0.93,773,1057,1229
WesternProvince,Rusizi,MibiliziSubDistrict,Butare,974,969,1,0.10,0.10,739,864,1023
WesternProvince,Rusizi,MibiliziSubDistrict,Gashonga,1021,1009,1,0.10,0.10,576,1826,824
WesternProvince,Rusizi,MibiliziSubDistrict,Gikundamvura,292,293,3,1.02,1.02,206,266,356
WesternProvince,Rusizi,MibiliziSubDistrict,Gitambi,1240,1225,2,0.16,0.16,715,995,1298
WesternProvince,Rusizi,MibiliziSubDistrict,Muganza (Rusizi),1296,1099,11,1.00,1.00,724,953,968
WesternProvince,Rusizi,MibiliziSubDistrict,Nkungu,804,802,4,0.50,0.50,448,665,832
WesternProvince,Rusizi,MibiliziSubDistrict,Nyakarenzo,481,475,1,0.21,0.21,199,353,409
WesternProvince,Rusizi,MibiliziSubDistrict,Nzahaha,404,404,0,0.00,0.00,270,350,342
WesternProvince,Rusizi,MibiliziSubDistrict,Rwimbogo,1624,1602,1,0.06,0.06,1153,1287,1372
WesternProvince,Rutsiro,MurundaSubDistrict,Boneza,583,572,5,0.87,0.80,352,450,582
WesternProvince,Rutsiro,MurundaSubDistrict,Gihango,1128,1104,7,1.14,1.05,559,886,1035
WesternProvince,Rutsiro,MurundaSubDistrict,Kigeyo,658,615,9,2.98,2.74,318,216,482
WesternProvince,Rutsiro,MurundaSubDistrict,Kivumu,1438,1418,0,0.00,0.00,1190,1324,1265
WesternProvince,Rutsiro,MurundaSubDistrict,Manihira,808,1384,12,0.87,0.80,425,228,389
WesternProvince,Rutsiro,MurundaSubDistrict,Mukura (Rutsiro),834,831,4,0.48,0.44,455,401,637
WesternProvince,Rutsiro,MurundaSubDistrict,Murunda,1279,1188,11,3.49,3.21,503,1862,1106
WesternProvince,Rutsiro,MurundaSubDistrict,Musasa,344,298,4,1.34,1.23,242,294,476
WesternProvince,Rutsiro,MurundaSubDistrict,Mushonyi,510,500,5,1.00,0.92,222,265,596
WesternProvince,Rutsiro,MurundaSubDistrict,Mushubati,562,557,51,9.16,8.42,413,685,795
WesternProvince,Rutsiro,MurundaSubDistrict,Nyabirasi,1465,1456,6,0.41,0.38,949,931,927
WesternProvince,Rutsiro,MurundaSubDistrict,Ruhango (Rutsiro),1379,1251,16,2.60,2.39,660,714,1075
WesternProvince,Rutsiro,MurundaSubDistrict,Rusebeya,578,535,5,0.93,0.86,382,481,757
